#At Time	x	process	Y	state arr	w	total	z	remain	y	wait	k
At Time	5	process	1	started arr	5	total	13	remain	13	wait	0
At Time	7	process	1	stopped arr	5	total	13	remain	11	wait	0
At Time	7	process	2	started arr	7	total	17	remain	17	wait	0
At Time	9	process	2	stopped arr	7	total	17	remain	15	wait	0
At Time	9	process	1	resumed arr	5	total	13	remain	11	wait	2
At Time	11	process	1	stopped arr	5	total	13	remain	9	wait	2
At Time	11	process	2	resumed arr	7	total	17	remain	15	wait	2
At Time	13	process	2	stopped arr	7	total	17	remain	13	wait	2
At Time	13	process	1	resumed arr	5	total	13	remain	9	wait	4
At Time	15	process	1	stopped arr	5	total	13	remain	7	wait	4
At Time	15	process	2	resumed arr	7	total	17	remain	13	wait	4
